PK (7100)	GUID (5800)	DayOfWeek (7101)	Starttime (7102)	Length (7115)	Course (7106)	Subject (7103)	Teacher (7104)	Group (7105)	Room (7107)	Period (7108)	Week (7109)	ActualWeeks (7167)
370	{F95A8158-8E5D-4FC3-8460-285CBFBEE3DC}	Tisdag	8:30	60	MUST1000X	MUT	SiweAn	MUT01:25_MA5	223			35-43, 45, 47-51, 3-8, 10, 12-14, 16-22, 24
331	{584B60DB-96C8-4CA8-9AE7-B30633B54B21}	Torsdag	8:30	60		Gruppsång	GrafSo	GRSÅ:25_MA1	111			35-42, 45, 47-49, 51, 3-8, 10, 12-14, 16-19, 21-24
300	{E38CF596-526A-414A-83F4-DB0AB8A56C27}	Onsdag	10:10	60		Gruppgitarr	TörnEf	GRGI:25_MA1	110			35-41, 43, 45-49, 51, 3-8, 10, 12-14, 16-22, 24
1153	{455CD384-133A-4BA4-9CF9-0DB776E38B7F}	Onsdag	10:10	60		Gruppgitarr	HolmCh	GRGI:25_MA2	111			35-41, 43, 45-49, 51, 3-8, 10, 12-14, 16-22, 24
567	{6617B2CB-911C-4242-8368-C3358B751349}	Onsdag	11:15	60	INSR1000XTUB	INSR	NordAn	TB01:25A_PelAGh	114		37, 39, 41, 43, 45, 47, 49, 51, 3, 5, 7, 11, 13, 15, 17, 19, 21, 23	37, 41, 43, 45, 47, 49, 51, 3, 5, 7, 13, 17, 19, 21
964	{5A56AC1A-2401-4991-A850-CD188F795700}	Onsdag	11:20	60		Gruppbas	KarnFr	GRBS:25_MA2	105			35-38, 40-41, 43, 45-49, 51, 3-8, 10, 12-14, 16-22, 24
319	{6CEEFD43-923E-45BC-80DC-8303E3354C52}	Fredag	15:10	60		Gruppgitarr	KullJo	GRGI:25_MA4	110			35-36, 38-42, 45-49, 2-8, 10, 12-13, 16-17, 21-24
962	{4CA5997B-5779-4777-8A89-D2448C209325}	Torsdag	8:30	60	MUST1000X	MUT	StröJo	MUT01:25_MA6	223			35-42, 45, 47-49, 51, 3-8, 10, 12-14, 16-19, 21-24
305	{6F8E0161-9118-4506-A3DB-2B911CD504B8}	Torsdag	10:50	60	MUST1000X	MUT	LindLi	MUT01:25_MA3	035			35-42, 45, 47-49, 51, 3-8, 10, 12-14, 16-19, 21-24
364	{3BD54132-5062-42EB-9690-B4171E72A017}	Torsdag	10:50	60	MUST1000X	MUT	NorbSo	MUT01:25_MA4	231			35-42, 45, 47-49, 51, 3-8, 10, 12-14, 16-19, 21-24
323	{E92124CF-EF96-45D5-BAC6-1F74B9488E30}	Torsdag	10:50	60	MUST1000X	MUT	SiweAn	MUT01:25_MA5	223			35-42, 45, 47-49, 51, 3-8, 10, 12-14, 16-19, 21-24
329	{86B8733B-F07C-4CC8-B464-143FDFA3C5B7}	Torsdag	9:40	60	MUST1000X	MUT	LindAn	MUT01:25_MA1	231			35-42, 45, 47-49, 51, 3-8, 10, 12-14, 16-19, 21-24
922	{ED193614-99F7-49F1-8035-5FC418AED81B}	Torsdag	9:40	60	MUST1000X	MUT	SiweAn	MUT01:25_MA2	223			35-42, 45, 47-49, 51, 3-8, 10, 12-14, 16-19, 21-24
309	{DFEFEB4D-2AC3-496F-AD03-78526DCEE71E}	Torsdag	9:40	60		Gruppgitarr	MeliPm	GRGI:25_MA3	110			35-42, 45, 47-49, 51, 3-8, 10, 12-14, 16-19, 21-24
1050	{65B7B878-AFB7-4ABB-B5F8-45BFA057EB64}	Torsdag	9:40	60		Gruppsång	GrafSo	GRSÅ:25_MA3	111			35-42, 45, 47-49, 51, 3-8, 10, 12-14, 16-19, 21-24
939	{B7854A43-EC7D-45C0-8411-DDCC5DF57853}	Torsdag	9:40	60	ENSE1000X	MUS	LindLi,GrönSa	ENS01:25_LS3	020			35-42, 45-49, 51, 3-8, 10, 12-14, 16-19, 21-24
88	{30206ABC-981E-4B2F-96EB-3C1C730224D6}	Torsdag	9:40	60	ENSE1000X	MUS	StröJo,SkoJon	ENS01:25_MP3	032			35-42, 45-49, 51, 3-8, 10, 12-14, 16-19, 21-24
1147	{46CFDD61-4974-4793-AF9F-6A793EC79A06}	Torsdag	9:40	60	ENSE1000X	MUS	KullJo	ENS01:25_MA3_1	021			35-42, 45, 47-49, 51, 3-8, 10, 12-14, 16-19, 21-24
1091	{E0271D39-BE59-43C5-B78E-A1D2F3C0F260}	Torsdag	9:40	60	ENSE1000X	MUS	SandVi	ENS01:25_MA3_4	026			35-42, 45, 47-49, 51, 3-8, 10, 12-14, 16-19, 21-24
1090	{525D3181-CFAB-49D5-B73B-DB28D33B94D9}	Torsdag	9:40	60	ENSE1000X	MUS	NorbSo	ENS01:25_MA3_2	023			35-42, 45, 47-49, 51, 3-8, 10, 12-14, 16-19, 21-24
109	{EF77B1B8-7D9A-4025-9837-9A1D80CEBCD4}	Torsdag	9:40	60	ENSE1000X	MUS	KarnFr	ENS01:25_MA3_3	024			35-42, 45, 47-49, 51, 3-8, 10, 12-14, 16-19, 21-24
202	{3C922C80-78D9-4B14-A402-093103F4565C}	Torsdag	9:40	60	ENSE1000X	MUS	DrouJo	ENS01:25_MA3_5	027			35-42, 45, 47-49, 51, 3-8, 10, 12-14, 16-19, 21-24
921	{81C1CE0D-E3FB-48AE-B4C2-6ABEC28BD9A5}	Torsdag	15:30	90	ENSM1000X	EKF	GrafSo,KarnFr	Fördjupningstid_1	113			35-42, 45-49, 51, 3-8, 10, 12-14, 16-19, 21-24
49	{6D1B1E83-E12A-450B-B0E3-4B10B39070AB}	Torsdag	15:30	90	ENSM1000X	EKF	BerSeb,SelsJo	Fördjupningstid_2	122			35-42, 45-49, 51, 3-8, 10, 12-14, 16-19, 21-24
435	{9DA2BEEA-5397-4C04-A5D0-8AC02B68907B}	Tisdag	9:00	40		MUS	MagnLe	GRPI:25_MA2	015			35-43, 45, 47-51, 3-8, 10, 12-14, 16-22, 24
80	{698F48EA-4F25-483E-8638-37FDB2E361CE}	Måndag	9:00	30	INSR1000XGIT	MUS	KronAl	LS-GI01:25D_FelARy	014			35-43, 45, 47-51, 3-8, 10, 12-14, 16-20, 22-24
563	{B5F2D78D-880E-4FE2-90BC-4EB1F82DDAC9}	Måndag	9:30	30	INSR1000XGIT	MUS	KronAl	LS-GI01:25D_LevIPa	014			35-43, 45, 47-51, 3-8, 10, 12-14, 16-20, 22-24
503	{7C0208D8-F142-42B8-90A9-CD49C99E43B1}	Fredag	8:30	60	LATS1000X	MUS	LindJo,NordJi	LÅT01:25_1	233			35-36, 38-42, 45-49, 2-8, 10, 12-13, 16-17, 21-24
1058	{BF01548B-CAF4-4CB2-A160-8F0E9D4C6B21}	Fredag	8:30	60	LATS1000X	MUS	NordJi,LindJo	LÅT01:25_2	103			35-36, 38-42, 45-49, 2-8, 10, 12-13, 16-17, 21-24
946	{FD230B87-E4E1-432B-B6DD-77FB5B149D34}	Fredag	8:30	60	INSR1000XEDI	MUS	BerSeb,SelsJo	EDI01:25_2	108			35-36, 38-42, 45-49, 2-8, 10, 12-13, 16-17, 21-24
684	{E00C9668-4300-4DFD-B70B-32E3E3163B25}	Fredag	9:40	60	LATS1000X	MUS	NordJi,LindJo	LÅT01:25_1	103			35-36, 38-42, 45-49, 2-8, 10, 12-13, 16-17, 21-24
103	{A10841EA-E33F-4D7D-8EA2-881D4743FD16}	Fredag	9:40	60	LATS1000X	MUS	LindJo,NordJi	LÅT01:25_2	233			35-36, 38-42, 45-49, 2-8, 10, 12-13, 16-17, 21-24
61	{AC3F6C8D-765E-44ED-A023-F4C783B16083}	Fredag	9:40	60	INSR1000XEDI	MUS	BerSeb,SelsJo	EDI01:25_1	108			35-36, 38-42, 45-49, 2-8, 10, 12-13, 16-17, 21-24
1088	{76F41C8E-C186-4F18-B601-9AF724E1CA7A}	Torsdag	12:40	90	ESTE1000X	EST	LindJo	EST01:25D	015			35-42, 45-49, 51, 3-8, 10, 12-14, 16-19, 21-24
1087	{C2B0C2F4-DD84-42E6-8DE7-4435A03B9E1F}	Torsdag	12:40	90	ESTE1000X	EST	BerSeb	EST01:25E	122			35-42, 45-49, 51, 3-8, 10, 12-14, 16-19, 21-24
504	{6B32FB58-AB9D-49BF-8DFB-CB454BD19C0A}	Måndag	16:00	60	MUST1000X	MUT	NorbSo	MUT01:25_LS+MP3	035			35-43, 45, 47-51, 3-8, 10, 12-14, 16-20, 22-24
926	{F9AA496D-00D4-4565-9F46-77815796DCB6}	Måndag	16:00	60	MUST1000X	MUT	SkoJon	MUT01:25_LS+MP4	231			35-43, 45, 47-51, 3-8, 10, 12-14, 16-20, 22-24
332	{582E38CB-B964-468A-A0E2-6F76C0BDA9AE}	Tisdag	9:40	60	MUST1000X	MUT	LindAn	MUT01:25_LS+MP1	231			35-43, 45, 47-51, 3-8, 10, 12-14, 16-24
204	{FF939227-B967-47B3-A138-9EE21660ECA4}	Tisdag	9:40	60	MUST1000X	MUT	LindLi	MUT01:25_LS+MP2	035			35-43, 45, 47-51, 3-8, 10, 12-14, 16-24
94	{D1962651-29C0-4194-BA93-AC1D25DD9AA8}	Torsdag	8:30	60	MUST1000X	MUT	LindAn	MUT01:25_LS+MP1	231			35-42, 45-49, 51, 3-8, 10, 12-14, 16-19, 21-24
910	{3D8964C5-66E4-4508-A502-2C40D9936A87}	Torsdag	8:30	60	MUST1000X	MUT	LindLi	MUT01:25_LS+MP2	035			35-42, 45-49, 51, 3-8, 10, 12-14, 16-19, 21-24
289	{045E7215-21A0-45A7-B035-3088E0B55C60}	Torsdag	14:20	60	MUST1000X	MUT	NorbSo	MUT01:25_LS+MP3	035			35-42, 45-49, 51, 3-8, 10, 12-14, 16-19, 21-24
981	{257ACA12-E280-4050-B9E8-A796CF5D4D27}	Torsdag	14:20	60	MUST1000X	MUT	SkoJon	MUT01:25_LS+MP4	107			35-42, 45-49, 51, 3-8, 10, 12-14, 16-19, 21-24
284	{3FA596FD-F01F-4084-84D8-A1BE211CDD55}	Torsdag	15:00	25	MUSBRU0	MUS	KullJo	BRUGI:IV_3	110			35-42, 45-49, 51, 3-8, 10, 12-14, 16, 18-19, 21-24
1053	{52CC19F5-355A-4AE3-BA97-D9A7BEA47070}	Tisdag	10:10	90	DIGDIG01	DIG	LindCh	DIG01:23_MP4	122			35-43, 45, 47-51, 3-8, 10, 12-14, 16-18, 20-24
99	{00E38C66-CA9F-431C-879B-B1B7AA8095F6}	Torsdag	9:00	25	MUSBRU0	MUS	LindCh	BRUGI:IV_4	110			35-42, 45-49, 51, 3-8, 10, 12-14, 16, 18-19, 21-24
944	{8E5E9BAA-A393-4242-BA2A-EB9F65408CA0}	Tisdag	13:10	60		MÖTE	LindAn,LindLi,SiweAn,NorbSo,StröJo,SkoJon	Möte Musikteori	223			34-43, 45-51, 3-8, 10, 12-14, 16-24
558	{9550FDCB-4F82-49D6-AF12-C42D7FC298BF}	Torsdag	13:20	60		MÖTE	EdqJos,SiweAn,HagmMa,SandVi,NorbSo	Möte EST02	103			34-43, 45-51, 3-8, 10, 12-14, 16-19, 21-24
935	{CC7A2406-4827-4B9C-886B-86802BF90DF4}	Onsdag	9:40	60		MÖTE	EngsSa,NordJi,VindHe,OlliKa		223			34-43, 45-51, 3-8, 10, 12-14, 16-24
998	{3335D1C5-26C5-4D46-953C-4BACB0E09DC4}	Onsdag	8:30	60		MÖTE	AppeRe,BrodSt,BruKar,DrouJo,EdqJos,EngsSa,ErikBe,FogeNi,FredJe,GrafSo,HammUl,HolmCh,JonsLa,KarnFr,LindAn,LindCh,LundCa,MeliPm,NordJi,PassAn,PudaNi,ReveKa,SelsJo,StarMo,TörnEf,NorAnt,LindLi,BerSeb,SiweAn,HavsId,KullJo,SandVi,SalMal,NorbSo,LinEri,MagnLe,GrönSa,LindJo,BeckJo,VindHe,OlliKa	Personalmöte EST	028			34-43, 45-51, 3-8, 10, 12-14, 16-24
966	{98207CFF-C690-406A-988A-A0769FE85987}	Fredag	12:40	120	ESTEST03	EST	SalMal,GrönSa	EST03:23_SW	027			35-36, 38-42, 45-49, 2-8, 10, 12-13, 16-17, 21-24
148	{21590410-6AB1-43E3-A1E8-56EED8416703}	Fredag	9:30	40		SAL	SalMal	Salspärr EST03	035			34-43, 45-50, 2-8, 10, 12-13, 16-17, 21-24
1067	{37822878-5F07-4609-89CC-279E9AE7B417}	Onsdag	10:10	60	MUST1000X	MUT	StröJo	MUT01:25_SA1	107			35-41, 43, 45-49, 51, 3-8, 10, 12-14, 16-24
252	{8B3CE576-1C23-4C94-8680-AE442AAE45B4}	Torsdag	13:10	60	MUST1000X	MUT	StröJo	MUT01:25_SA1	035			35-42, 45-49, 51, 3-8, 10, 12-14, 16-19, 21-24
106	{D8F929E1-5E04-4C02-8872-F373689A3EBB}	Tisdag	13:10	35		SAL	VindHe	Salspärr Helena	114			34-43, 45-51, 3-8, 10, 12-14, 16-24
6	{07207D4E-A9E5-46BC-850F-1549B9B424C6}	Måndag	14:45	40		SAL	VindHe	Salspärr Helena	114			34-43, 45-51, 3-8, 10, 12-14, 16-24
312	{F2491E7D-336D-4A49-A249-0B6CC8FD1C27}	Onsdag	17:00	90		Omprovstid	BroFre		036		41-23	41-43, 45-51, 3-8, 10-14, 16-23
346	{28B0DC8C-1E51-4F15-A130-7B9C6C97173D}	Tisdag	8:30	60		MÖTE	AateEl,AhmeLa,AmanPe,AndeMi,BjörMa,CollFi,EneAn,GranEl,HäggCa,KarlHe,LjunLi,NorrJa,EdoAnn,RehnLi,SiegAn,SparAm,VideRo,FredJe,TägtAm	Personalmöte GG				34-43, 45-51, 3-8, 10-14, 16-24
1056	{F8C552C3-72B8-49F7-AEA6-5CBCD8EBE0BE}	Måndag	15:00	60		Gruppblås	SandVi	GRBL:25/24	105			35-43, 45, 47-51, 3-8, 10, 12-14, 16-20, 22-24
666	{F70DF87E-1686-4F38-9F6B-5C7E846A3041}	Måndag	8:30	30	INSR1000XTRM	MUS	DrouJo	TR01:25C_OllPMo	019			35-43, 45, 47-51, 3-8, 10, 12-14, 16-20, 22-24
466	{9729A9CC-3112-4586-B4F0-B87B2503C1E1}	Måndag	8:30	30	INSR1000XSNG	MUS	LindAn	LS-SÅ01:25D_RosHGa	110			35-43, 45, 47-51, 3-8, 10, 12-14, 16-20, 22-24
714	{1FEF798C-34D3-448E-8D09-A05B5C08418E}	Måndag	8:30	30	INSR1000XGIT	MUS	KronAl	LS-GI01:25E_SimSun	014			35-43, 45, 47-51, 3-8, 10, 12-14, 16-20, 22-24
483	{33A2E66C-AD80-473A-B015-908AEA656512}	Torsdag	8:30	30	MUSINS02S	MUS	MeliPm	GI02:24B_MaxKem	012			35-42, 45-49, 51, 3-8, 10, 12-14, 16, 18-19, 21-24
958	{C68949CA-A8FC-484F-A0EC-23C5CF5D42EE}	Tisdag	8:30	30	MUSINS02S	MUS	PassAn	BS02:24C_EnyOet	012			35-43, 45, 47-51, 3-8, 10, 12-13, 16, 18-24
190	{5691DB14-CD88-4087-96A4-EA9CB19D3592}	Tisdag	8:30	30	MUSINS02S	MUS	StarMo	SW02:24D_JulChr	227			35-43, 45, 47-51, 3-8, 10, 12-13, 16, 18-24
575	{A85CC996-8495-4DFD-A9AC-1326985E5DD7}	Tisdag	8:30	30	MUSINS02S	MUS	DrouJo	IV-TR02:24G_LiaTam	017			35-43, 45, 47-51, 3-8, 10, 12-13, 16, 18-20, 22-24
